ID,repetition,date,age_yn,age,sul,sex,head_s,jump_s,stop_s,speedreach_cms,head_yn,jump_yn,stop_yn,silence,jump,areas,distance,go.in.box,time.in.shelter,territory,females,neighbours,habitat,habitat2
i19-m-001,4,16.04.19,0,1,2.898,m,,,,,,,,,9,13,2183.83,1,456.96,158.91,5,3,,63.08
i19-m-003,1,12.02.19,0,1,2.952,m,9,9,85,2.353,1,1,1,1,8,9,1056.77,1,77.35,185.35,10,7,81.07,81.07
i19-m-003,2,25.02.19,0,1,2.952,m,7,77,204,0.980,1,1,1,0,6,9,794.50,1,366.86,264.32,11,8,,81.07
i19-m-003,3,09.03.19,0,1,2.952,m,300,300,,0.000,0,0,0,0,0,1,191.27,1,0.25,284.30,13,10,,81.07
i19-m-003,4,19.03.19,0,1,2.952,m,93,94,,0.000,1,1,0,0,0,0,0.00,0,900.00,233.43,12,7,,81.07
i19-m-004,1,19.02.19,0,1,2.887,m,3,12,71,2.817,1,1,1,1,4,5,654.83,1,231.49,699.33,3,3,94.01,94.01
i19-m-004,2,21.03.19,0,1,2.887,m,9,28,152,1.316,1,1,1,1,10,13,1436.90,1,115.58,626.63,3,4,,94.01
i19-m-004,3,09.04.19,0,1,2.887,m,2,4,55,3.636,1,1,1,0,10,11,1370.04,1,27.78,977.47,5,6,,94.01
i19-m-004,4,19.04.19,0,1,2.887,m,1,4,135,1.481,1,1,1,1,16,10,2290.84,1,155.38,1706.41,8,8,,94.01
i19-m-006,1,13.02.19,0,1,2.832,m,4,7,102,1.961,1,1,1,1,0,0,0.00,0,900.00,378.47,4,5,86.53,86.53
i19-m-006,2,06.03.19,0,1,2.832,m,7,10,62,3.226,1,1,1,1,2,3,387.52,1,586.36,932.06,6,3,,86.53
i19-m-006,3,25.03.19,0,1,2.832,m,4,6,106,1.887,1,1,1,1,0,0,0.00,0,900.00,1078.10,7,3,,86.53
i19-m-007,1,06.03.19,0,1,2.761,m,4,6,50,4.000,1,1,1,1,16,10,1625.06,1,167.91,523.09,12,6,78.02,78.02
i19-m-007,2,27.03.19,0,1,2.761,m,6,29,149,1.342,1,1,1,0,14,9,1400.57,1,240.55,462.31,11,6,,78.02
i19-m-007,3,01.04.19,0,1,2.761,m,3,9,84,2.381,1,1,1,0,11,11,1460.99,1,252.34,482.63,11,6,,78.02
i19-m-008,1,25.03.19,0,1,2.965,m,2,3,183,1.093,1,1,1,0,29,17,3726.63,1,418.92,481.89,10,4,79.63,79.63
i19-m-008,2,12.04.19,0,1,2.965,m,1,3,162,1.235,1,1,1,1,38,8,3490.31,1,164.16,601.92,14,6,,79.63
i19-m-008,3,20.04.19,0,1,2.965,m,83,300,,0.000,1,0,0,0,36,7,2744.45,1,82.33,1082.27,13,8,,79.63
i19-m-009,1,01.04.19,0,1,2.925,m,5,10,107,1.869,1,1,1,0,3,3,255.78,1,756.26,926.45,13,9,87.53,87.53
i19-m-009,2,07.04.19,0,1,2.925,m,5,11,72,2.778,1,1,1,1,0,0,0.00,0,900.00,1009.90,13,9,,87.53
i19-m-009,3,13.04.19,0,1,2.925,m,3,6,75,2.667,1,1,1,1,1,1,279.50,1,900.00,469.11,8,5,,87.53
i19-m-009,4,20.04.19,0,1,2.925,m,2,7,53,3.774,1,1,1,1,0,0,0.00,0,900.00,816.85,10,6,,87.53
i19-m-010,1,25.02.19,0,1,2.690,m,30,300,,0.000,1,0,0,0,7,7,681.88,1,174.42,887.08,15,8,85.38,85.38
i19-m-010,2,09.03.19,0,1,2.690,m,9,29,182,1.099,1,1,1,0,0,2,94.89,1,0.75,67.24,9,4,,85.38
i19-m-010,3,19.03.19,0,1,2.690,m,5,82,,0.000,1,1,0,0,10,9,857.82,1,753.49,159.87,10,6,,85.38
i19-m-011,1,13.03.19,0,1,2.877,m,3,6,77,2.597,1,1,1,1,8,17,2190.46,1,287.06,409.30,6,5,88.84,88.84
i19-m-011,2,20.03.19,0,1,2.877,m,2,3,54,3.704,1,1,1,0,11,11,1537.34,1,395.68,414.39,6,5,,88.84
i19-m-011,3,24.03.19,0,1,2.877,m,4,24,,0.000,1,1,0,0,11,14,2179.30,1,292.05,432.32,6,4,,88.84
i19-m-012,1,19.02.19,0,1,2.779,m,12,28,108,1.852,1,1,1,0,16,14,1627.79,1,412.44,316.59,6,4,96.68,96.68
i19-m-012,2,15.03.19,0,1,2.779,m,11,195,,0.000,1,1,0,1,17,3,578.35,1,180.90,620.16,8,6,,96.68
i19-m-012,3,26.03.19,0,1,2.779,m,5,27,53,3.774,1,1,1,1,19,15,2141.44,1,125.88,479.26,10,5,,96.68
i19-m-012,4,13.04.19,0,1,2.779,m,12,30,,0.000,1,1,0,1,,,,,,449.01,8,5,,96.68
i19-m-013,1,12.02.19,0,1,2.837,m,300,300,,0.000,0,0,0,0,19,17,2178.64,1,427.19,227.89,10,5,68.85,68.85
i19-m-013,2,07.03.19,0,1,2.837,m,3,52,,0.000,1,1,0,0,3,6,680.25,1,696.95,227.23,10,6,,68.85
i19-m-013,3,26.03.19,0,1,2.837,m,5,7,119,1.681,1,1,1,0,11,10,2154.23,1,368.12,503.21,10,5,,68.85
i19-m-013,4,17.04.19,0,1,2.837,m,21,22,94,2.128,1,1,1,1,11,9,2218.03,1,273.08,634.01,13,5,,68.85
i19-m-013,5,21.04.19,0,1,2.837,m,4,28,105,1.905,1,1,1,0,33,10,3310.39,1,75.60,451.81,14,6,,68.85
i19-m-014,1,13.02.19,0,1,2.906,m,27,28,99,2.020,1,1,1,1,20,18,2391.62,1,669.18,928.67,6,5,94.49,94.49
i19-m-014,2,19.02.19,0,1,2.906,m,85,107,157,1.274,1,1,1,0,0,0,0.00,0,900.00,684.60,7,7,,94.49
i19-m-014,3,24.03.19,0,1,2.906,m,6,10,195,1.026,1,1,1,1,0,0,0.00,0,900.00,1393.43,8,5,,94.49
i19-m-014,4,01.04.19,0,1,2.906,m,13,40,155,1.290,1,1,1,1,12,16,1990.47,1,900.00,1336.43,9,5,,94.49
i19-m-016,1,13.02.19,0,1,2.992,m,13,26,166,1.205,1,1,1,0,0,0,0.00,0,900.00,661.43,3,3,,
i19-m-017,1,19.02.19,0,1,2.687,m,3,4,40,5.000,1,1,1,1,35,24,4132.12,1,104.85,477.31,9,7,,
i19-m-018,1,13.03.19,0,1,2.753,m,2,3,31,6.452,1,1,1,0,0,0,0.00,0,900.00,429.94,5,3,70.26,70.26
i19-m-018,2,24.03.19,0,1,2.753,m,12,28,88,2.273,1,1,1,0,,,,,,22.54,3,2,,70.26
i19-m-018,3,31.03.19,0,1,2.753,m,13,15,,0.000,1,1,0,0,,,,,,96.74,6,4,,70.26
i19-m-018,4,17.04.19,0,1,2.753,m,4,10,82,2.439,1,1,1,0,17,14,1329.54,1,241.96,415.84,7,6,,70.26
i19-m-019,1,13.03.19,0,1,2.931,m,8,16,247,0.810,1,1,1,0,18,19,2147.37,1,131.66,1662.61,8,5,84.40,84.40
i19-m-019,2,24.03.19,0,1,2.931,m,36,39,130,1.538,1,1,1,1,0,0,0.00,0,900.00,1256.17,2,3,,84.40
i19-m-019,3,31.03.19,0,1,2.931,m,7,29,,0.000,1,1,0,1,0,0,0.00,0,900.00,1508.48,3,2,,84.40
i19-m-020,1,09.03.19,0,1,2.839,m,300,300,,0.000,0,0,0,0,12,17,2191.59,1,434.68,561.91,6,4,62.96,62.96
i19-m-020,2,20.03.19,0,1,2.839,m,7,33,149,1.342,1,1,1,1,15,18,2098.36,1,308.80,1339.72,7,5,,62.96
i19-m-020,3,21.04.19,0,1,2.839,m,1,2,108,1.852,1,1,1,0,3,7,807.11,1,200.20,1607.10,4,6,,62.96
i19-m-020,4,22.04.19,0,1,2.839,m,3,26,,0.000,1,1,0,0,,,,,,1612.50,4,6,,62.96
i19-m-022,1,19.04.19,0,1,2.709,m,3,4,29,6.897,1,1,1,1,20,16,2960.06,1,20.04,1809.79,7,4,89.59,89.59
i19-m-022,2,20.04.19,0,1,2.709,m,14,41,,0.000,1,1,0,1,20,18,2238.45,1,5.77,1442.10,4,4,,89.59
i19-m-022,3,22.04.19,0,1,2.709,m,10,32,172,1.163,1,1,1,0,1,2,190.44,1,0.50,1474.24,4,4,,89.59
i15-f-036,1,12.02.19,1,5,3.025,f,,,,,,,,,11,12,1114.63,1,15.04,,,,,
i17-f-002,1,28.03.19,1,3,3.380,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i17-f-002,2,02.04.19,1,3,3.380,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i17-f-002,3,06.04.19,1,3,3.380,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i17-f-013,1,25.03.19,1,3,3.149,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i17-f-013,2,27.03.19,1,3,3.149,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i17-f-013,3,05.04.19,1,3,3.149,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i17-f-017,1,05.03.19,1,3,3.010,f,,,,,,,,,12,11,1335.26,1,696.19,,,,,
i17-f-017,2,08.03.19,1,3,3.010,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i17-f-017,3,15.03.19,1,3,3.010,f,,,,,,,,,11,14,1713.11,1,446.19,,,,,
i18-f-002,1,25.03.19,1,2,3.136,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-002,2,02.04.19,1,2,3.136,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-002,3,15.04.19,1,2,3.136,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-003,1,25.02.19,1,2,2.857,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-003,2,05.03.19,1,2,2.857,f,,,,,,,,,6,7,822.03,1,699.45,,,,,
i18-f-003,3,10.03.19,1,2,2.857,f,,,,,,,,,4,7,617.82,1,445.45,,,,,
i18-f-004,1,15.02.19,1,2,,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-004,2,19.02.19,1,2,,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-004,3,21.02.19,1,2,,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-004,4,23.02.19,1,2,,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-005,1,07.04.19,1,2,2.717,f,,,,,,,,,6,13,1181.80,1,177.23,,,,,
i18-f-005,2,12.04.19,1,2,2.717,f,,,,,,,,,12,2,179.43,1,127.14,,,,,
i18-f-008,1,07.04.19,1,2,2.905,f,,,,,,,,,15,16,2118.33,1,9.01,,,,,
i18-f-008,2,18.04.19,1,2,2.905,f,,,,,,,,,27,20,2561.95,1,80.84,,,,,
i18-f-008,3,20.04.19,1,2,2.905,f,,,,,,,,,24,19,2569.61,1,223.51,,,,,
i18-f-024,1,12.03.19,1,2,3.114,f,,,,,,,,,9,10,1185.17,1,264.37,,,,,
i18-f-024,2,17.04.19,1,2,3.114,f,,,,,,,,,6,9,825.56,1,184.79,,,,,
i18-f-025,1,27.03.19,1,2,3.011,f,,,,,,,,,19,16,1891.49,1,525.31,,,,,
i18-f-025,2,30.03.19,1,2,3.011,f,,,,,,,,,7,9,3097.90,1,377.28,,,,,
i18-f-025,3,05.04.19,1,2,3.011,f,,,,,,,,,4,7,599.57,1,55.47,,,,,
i18-f-033,1,04.03.19,1,2,3.173,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-033,2,10.03.19,1,2,3.173,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-033,3,19.03.19,1,2,3.173,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-034,1,22.02.19,1,2,3.238,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-037,1,22.02.19,1,2,2.948,f,,,,,,,,,7,12,1270.94,1,99.85,,,,,
i18-f-037,2,23.03.19,1,2,2.948,f,,,,,,,,,13,12,1727.55,1,181.60,,,,,
i18-f-037,3,26.03.19,1,2,2.948,f,,,,,,,,,18,20,2330.40,1,1.00,,,,,
i18-f-038,1,20.02.19,1,2,3.300,f,,,,,,,,,5,7,937.47,1,323.25,,,,,
i18-f-044,1,09.02.19,1,2,3.024,f,,,,,,,,,0,1,303.08,1,190.47,,,,,
i18-f-044,2,15.02.19,1,2,3.024,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-044,3,01.03.19,1,2,3.024,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-050,1,18.03.19,1,2,2.907,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-050,2,21.03.19,1,2,2.907,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-050,3,24.03.19,1,2,2.907,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i18-f-050,4,07.04.19,1,2,2.907,f,,,,,,,,,13,13,2121.42,1,308.79,,,,,
i18-f-051,1,26.03.19,1,2,3.056,f,,,,,,,,,9,12,1310.54,1,900.00,,,,,
i18-f-051,2,31.03.19,1,2,3.056,f,,,,,,,,,19,17,2255.56,1,135.76,,,,,
i19-f-001,1,07.03.19,0,1,2.820,f,,,,,,,,,6,8,760.78,1,686.18,,,,,
i19-f-001,2,28.03.19,0,1,2.820,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-003,1,16.04.19,0,1,2.756,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-005,1,12.02.19,0,1,2.910,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-005,2,22.02.19,0,1,2.910,f,,,,,,,,,14,11,1246.78,1,501.46,,,,,
i19-f-005,3,27.02.19,0,1,2.910,f,,,,,,,,,1,2,283.10,1,2.00,,,,,
i19-f-005,4,12.03.19,0,1,2.910,f,,,,,,,,,0,1,0.00,1,635.39,,,,,
i19-f-007,1,20.03.19,0,1,2.781,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-007,2,22.03.19,0,1,2.781,f,,,,,,,,,24,20,2296.81,1,445.84,,,,,
i19-f-007,3,24.03.19,0,1,2.781,f,,,,,,,,,21,16,2179.40,1,753.51,,,,,
i19-f-008,1,21.03.19,0,1,3.016,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-008,2,15.04.19,0,1,3.016,f,,,,,,,,,3,4,604.21,1,900.00,,,,,
i19-f-011,1,23.02.19,0,1,2.806,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-011,2,25.02.19,0,1,2.806,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-011,3,05.03.19,0,1,2.806,f,,,,,,,,,2,4,325.57,1,4.75,,,,,
i19-f-012,1,22.02.19,0,1,2.754,f,,,,,,,,,23,19,2713.61,1,720.44,,,,,
i19-f-012,2,15.03.19,0,1,2.754,f,,,,,,,,,1,3,348.54,1,6.50,,,,,
i19-f-014,1,23.02.19,0,1,2.661,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-014,2,13.03.19,0,1,2.661,f,,,,,,,,,5,6,496.66,1,186.86,,,,,
i19-f-014,3,15.03.19,0,1,2.661,f,,,,,,,,,10,18,1943.11,1,59.31,,,,,
i19-f-017,1,27.02.19,0,1,2.964,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-018,1,03.03.19,0,1,2.711,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-019,1,19.03.19,0,1,3.027,f,,,,,,,,,0,1,50.94,1,12.01,,,,,
i19-f-020,1,07.03.19,0,1,3.105,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-022,1,10.03.19,0,1,2.938,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-023,1,23.03.19,0,1,2.251,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-024,1,06.04.19,0,1,2.555,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-024,2,12.04.19,0,1,2.555,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-026,1,24.03.19,0,1,2.765,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-026,2,26.03.19,0,1,2.765,f,,,,,,,,,0,0,0.00,0,900.00,,,,,
i19-f-026,3,29.03.19,0,1,2.765,f,,,,,,,,,1,1,164.63,1,900.00,,,,,
i19-f-027,1,25.03.19,0,1,2.937,f,,,,,,,,,6,1,0.00,1,201.95,,,,,
i19-f-027,2,17.04.19,0,1,2.937,f,,,,,,,,,2,4,504.35,1,6.83,,,,,
i19-f-030,1,04.04.19,0,1,2.820,f,,,,,,,,,0,1,312.58,1,5.51,,,,,